30_8_Se_S_M__2,7,1,30.0,8.0,24.31,13.53,23.18,17.03,67.67,0
15_8_P_R_F__4,7,1,15.0,8.0,26.04,2.48,127.9,17.81,64.56,0
50_8_Se_R_M__3,7,1,50.0,8.0,23.62,9.51,122.27,13.04,61.06,0
10_8_P_S_A__1,7,1,10.0,8.0,23.31,2.57,22.46,14.73,42.6,2
10_8_P_R_M__0,7,1,10.0,8.0,23.73,2.5,120.0,17.09,60.2,0
50_4_Se_S_M__4,7,1,50.0,4.0,25.0,9.32,23.48,17.71,81.28,2
15_8_Se_S_F__3,7,1,15.0,8.0,24.67,17.93,24.58,16.25,63.0,1
10_2_P_S_F__2,7,1,10.0,2.0,21.45,2.65,22.03,17.36,90.4,1
50_2_Se_R_F__3,7,1,50.0,2.0,24.65,9.44,127.29,21.24,87.17,1
15_8_Se_R_F__1,7,1,15.0,8.0,27.84,19.06,119.97,18.38,64.89,1
10_4_P_S_F__0,7,1,10.0,4.0,22.64,2.65,23.44,14.64,65.2,1
30_4_P_R_A__1,7,1,30.0,4.0,25.52,2.34,130.59,18.29,66.82,0
15_4_Se_R_A__4,7,1,15.0,4.0,20.89,21.97,124.42,14.81,52.33,2
30_2_Se_S_M__4,7,1,30.0,2.0,22.85,11.7,22.87,18.45,97.56,0
30_2_P_R_F__2,7,1,30.0,2.0,22.66,2.31,125.81,18.61,90.38,1
50_4_P_S_F__4,7,1,50.0,4.0,26.13,2.21,23.73,17.98,70.64,1
10_2_Se_R_A__3,7,1,10.0,2.0,21.32,18.98,122.81,16.55,114.0,2
15_4_Se_S_A__0,7,1,15.0,4.0,22.3,19.44,23.39,14.94,71.5,2
15_2_Se_R_F__3,7,1,15.0,2.0,22.88,16.5,118.63,18.06,90.43,1
